ID,Creation year,Cielab b*,"No, hand folds",pH value,Recommended storage (based on pH),Recommended storage (based on hand folds),Overall storage recommenda-tion,Recommended use (based on hand folds),,,,,,,,,
33 KBS,1950,9.26,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
33 LGV,1888,13.74,3,4.7,Cold,Cold,Cold,None,,,,,,,,,
34 KBS,1964,2.78,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
34 LGV,1915,13.04,9,5.2,Cold,Cool,Cold,Careful,,,,,,,,,
35 KBS,1930,14.67,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
35 LGV,1904,15.65,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
36 KBS,1853,7.53,99,6.4,Cool,Room,Cool,Unrestricted,,,,,,,,,
36 LGV,1821,14.26,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
37 KBS,1931,10.7,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
37 LGV,1917,15.17,12,4.6,Cold,Cool,Cold,Careful,,,,,,,,,
38 KBS,1902,15.22,99,4.1,Freeze,Room,Freeze,Unrestricted,,,,,,,,,
38 LGV,1915,16.15,12,5.3,Cold,Cool,Cold,Careful,,,,,,,,,
39 KBS,1926,13.49,99,6.6,Cool,Room,Cool,Unrestricted,,,,,,,,,
39 LGV,1948,14.69,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
4 DNLB,1824,16.54,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
4 KBS,1921,8.5,99,5.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
4 LGV,1937,10.3,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
40 KBS,1927,13.05,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
40 LGV,1819,12.12,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
41 KBS,1926,16.57,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
41 LGV,1934,17.43,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
42 KBS,1972,12.43,99,5.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
42 LGV,1896,14.45,12,4.5,Cold,Cool,Cold,Careful,,,,,,,,,
43 KBS,1984,-0.89,99,8.8,Room,Room,Room,Unrestricted,,,,,,,,,
43 LGV,1803,7.28,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
44 KBS,1897,10.48,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
44 LGV,1932,15.37,12,4.5,Cold,Cool,Cold,Careful,,,,,,,,,
45 KBS,1929,13.2,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
45 LGV,1838,15.97,99,4.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
46 KBS,1907,17.21,3,4.6,Cold,Cold,Cold,None,,,,,,,,,
46 LGV,1946,8.58,6,4.5,Cold,Cool,Cold,Careful,,,,,,,,,
47 KBS,1970,3.62,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
47 LGV,1916,10.92,12,4.4,Cold,Cool,Cold,Careful,,,,,,,,,
48 KBS,1861,10.65,99,5.7,Cool,Room,Cool,Unrestricted,,,,,,,,,
48 LGV,1902,14.88,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
49 KBS,1914,8.42,99,6,Cool,Room,Cool,Unrestricted,,,,,,,,,
49 LGV,1851,14.23,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
5 DNLB,1807,13.34,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
5 KBS,1800,11.95,99,5.9,Cool,Room,Cool,Unrestricted,,,,,,,,,
5 LGV,1930,21.98,6,4.2,Cold,Cool,Cold,Careful,,,,,,,,,
50 KBS,1910,13.89,99,5,Cold,Room,Cold,Unrestricted,,,,,,,,,
50 LGV,1933,10.59,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
51 KBS,1939,17.15,99,4.3,Cold,Room,Cold,Unrestricted,,,,,,,,,
51 LGV,1800,13.21,99,4.8,Cold,Room,Cold,Unrestricted,,,,,,,,,
52 KBS,1946,12.72,99,6.1,Cool,Room,Cool,Unrestricted,,,,,,,,,
52 LGV,1905,10.2,12,5.1,Cold,Cool,Cold,Careful,,,,,,,,,
53 KBS,1971,1.26,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
53 LGV,1804,15.24,99,5.1,Cold,Room,Cold,Unrestricted,,,,,,,,,
54 KBS,1813,10.31,99,5.8,Cool,Room,Cool,Unrestricted,,,,,,,,,
54 LGV,1854,11.3,99,5.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
55 KBS,1849,12.4,99,4.7,Cold,Room,Cold,Unrestricted,,,,,,,,,
55 LGV,1938,18.35,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
56 KBS,1824,11.63,99,4.6,Cold,Room,Cold,Unrestricted,,,,,,,,,
56 LGV,1842,16.63,6,4.7,Cold,Cool,Cold,Careful,,,,,,,,,
57 KBS,1884,9.26,99,5.4,Cold,Room,Cold,Unrestricted,,,,,,,,,
57 LGV,1839,6.42,99,6.9,Cool,Room,Cool,Unrestricted,,,,,,,,,
58 KBS,1958,10.73,99,4.9,Cold,Room,Cold,Unrestricted,,,,,,,,,
58 LGV,1857,10.8,99,5.7,Cool,Room,Cool,Unrestricted,,,,,,,,,
59 KBS,1955,16.55,99,4.5,Cold,Room,Cold,Unrestricted,,,,,,,,,
59 LGV,1910,12.32,6,4.4,Cold,Cool,Cold,Careful,,,,,,,,,
6 DNLB,1885,18.01,3,4.5,Cold,Cold,Cold,None,,,,,,,,,
